time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-11 00:00:00+00:00,19,8,0,0
2026-03-12 00:00:00+00:00,11,6,1,1
2026-03-13 00:00:00+00:00,18,9,0,0
2026-03-14 00:00:00+00:00,7,6,0,0
2026-03-15 00:00:00+00:00,19,10,1,1
2026-03-16 00:00:00+00:00,19,11,2,2
2026-03-17 00:00:00+00:00,4,4,0,0
2026-03-18 00:00:00+00:00,17,7,4,4
2026-03-19 00:00:00+00:00,4,3,0,0
2026-03-20 00:00:00+00:00,7,6,0,0
2026-03-21 00:00:00+00:00,5,4,0,0
2026-03-22 00:00:00+00:00,3,3,1,1
2026-03-23 00:00:00+00:00,21,9,0,0
2026-03-24 00:00:00+00:00,15,7,0,0
