url_path,views_total,views_unique
/KajaBraz/ChatBox,15,8
/KajaBraz/ChatBox/blob/master/requirements.txt,12,2
/KajaBraz/ChatBox/blob/master/src/message.py,8,1
/KajaBraz/ChatBox/blob/master/src/chatbox_websocket_server.py,6,1
/KajaBraz/ChatBox/blob/master/src/host_server.py,6,1
/KajaBraz/ChatBox/blob/master/chatbox_config.json,5,2
/KajaBraz/ChatBox/blob/master/chatbox_tests_config.json,5,2
/KajaBraz/ChatBox/tree/master/src,5,1
/KajaBraz/ChatBox/blob/github-traffic/traffic/plots.png,4,1
/KajaBraz/ChatBox/blob/master/server_http/endpoints.py,4,1
