time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,25,16,0,0
2026-07-05 00:00:00+00:00,24,12,1,1
2026-07-06 00:00:00+00:00,27,13,0,0
2026-07-07 00:00:00+00:00,26,11,0,0
2026-07-08 00:00:00+00:00,12,6,0,0
2026-07-09 00:00:00+00:00,27,10,0,0
2026-07-10 00:00:00+00:00,3,3,0,0
2026-07-11 00:00:00+00:00,8,7,0,0
2026-07-12 00:00:00+00:00,15,6,0,0
2026-07-13 00:00:00+00:00,23,7,0,0
2026-07-14 00:00:00+00:00,8,3,0,0
2026-07-15 00:00:00+00:00,20,6,1,1
2026-07-16 00:00:00+00:00,17,8,0,0
2026-07-17 00:00:00+00:00,12,7,0,0
