time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,9,8,0,0
2026-04-06 00:00:00+00:00,11,7,0,0
2026-04-07 00:00:00+00:00,9,5,0,0
2026-04-08 00:00:00+00:00,12,9,1,1
2026-04-09 00:00:00+00:00,15,9,0,0
2026-04-10 00:00:00+00:00,25,8,0,0
2026-04-11 00:00:00+00:00,17,8,0,0
2026-04-12 00:00:00+00:00,27,12,0,0
2026-04-13 00:00:00+00:00,36,12,0,0
2026-04-14 00:00:00+00:00,14,7,1,1
2026-04-15 00:00:00+00:00,10,6,1,1
2026-04-16 00:00:00+00:00,22,7,0,0
2026-04-17 00:00:00+00:00,20,9,0,0
2026-04-18 00:00:00+00:00,14,8,0,0
