time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-05 00:00:00+00:00,4,3,1.0,1.0
2023-09-06 00:00:00+00:00,4,3,,
2023-09-07 00:00:00+00:00,4,3,,
2023-09-08 00:00:00+00:00,5,4,,
2023-09-09 00:00:00+00:00,5,4,,
2023-09-10 00:00:00+00:00,5,3,,
2023-09-11 00:00:00+00:00,7,4,,
2023-09-12 00:00:00+00:00,6,5,1.0,1.0
2023-09-13 00:00:00+00:00,8,4,,
2023-09-14 00:00:00+00:00,5,4,,
2023-09-15 00:00:00+00:00,5,4,3.0,1.0
2023-09-16 00:00:00+00:00,23,9,,
2023-09-17 00:00:00+00:00,11,4,,
2023-09-18 00:00:00+00:00,8,7,,
