time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-07 00:00:00+00:00,10,5,0,0
2026-03-08 00:00:00+00:00,5,4,0,0
2026-03-09 00:00:00+00:00,17,9,0,0
2026-03-10 00:00:00+00:00,3,3,0,0
2026-03-11 00:00:00+00:00,19,8,0,0
2026-03-12 00:00:00+00:00,11,6,1,1
2026-03-13 00:00:00+00:00,18,9,0,0
2026-03-14 00:00:00+00:00,7,6,0,0
2026-03-15 00:00:00+00:00,19,10,1,1
2026-03-16 00:00:00+00:00,19,11,2,2
2026-03-17 00:00:00+00:00,4,4,0,0
2026-03-18 00:00:00+00:00,17,7,4,4
2026-03-19 00:00:00+00:00,4,3,0,0
2026-03-20 00:00:00+00:00,7,6,0,0
