time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-27 00:00:00+00:00,28,11,0,0
2026-04-28 00:00:00+00:00,16,6,0,0
2026-04-29 00:00:00+00:00,11,5,1,1
2026-04-30 00:00:00+00:00,37,12,0,0
2026-05-01 00:00:00+00:00,26,7,1,1
2026-05-02 00:00:00+00:00,58,17,1,1
2026-05-03 00:00:00+00:00,26,9,2,2
2026-05-04 00:00:00+00:00,48,16,1,1
2026-05-05 00:00:00+00:00,62,19,0,0
2026-05-06 00:00:00+00:00,11,6,0,0
2026-05-07 00:00:00+00:00,6,5,0,0
2026-05-08 00:00:00+00:00,19,9,0,0
2026-05-09 00:00:00+00:00,21,7,0,0
2026-05-10 00:00:00+00:00,7,3,0,0
