time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-23 00:00:00+00:00,35,10,0,0
2026-06-24 00:00:00+00:00,39,10,0,0
2026-06-25 00:00:00+00:00,24,6,0,0
2026-06-26 00:00:00+00:00,2,2,0,0
2026-06-27 00:00:00+00:00,13,7,0,0
2026-06-28 00:00:00+00:00,15,6,0,0
2026-06-29 00:00:00+00:00,10,7,0,0
2026-06-30 00:00:00+00:00,9,4,0,0
2026-07-01 00:00:00+00:00,16,7,0,0
2026-07-02 00:00:00+00:00,21,8,0,0
2026-07-03 00:00:00+00:00,8,4,0,0
2026-07-04 00:00:00+00:00,25,16,0,0
2026-07-05 00:00:00+00:00,24,12,1,1
2026-07-06 00:00:00+00:00,27,13,0,0
