time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,16,7,0,0
2026-08-09 00:00:00+00:00,13,13,2,2
2026-08-10 00:00:00+00:00,4,3,0,0
2026-08-11 00:00:00+00:00,9,4,0,0
2026-08-12 00:00:00+00:00,27,18,1,1
2026-08-13 00:00:00+00:00,21,11,1,1
2026-08-14 00:00:00+00:00,8,8,1,1
2026-08-15 00:00:00+00:00,11,5,1,1
2026-08-16 00:00:00+00:00,3,3,0,0
2026-08-17 00:00:00+00:00,13,5,2,2
2026-08-18 00:00:00+00:00,22,15,0,0
2026-08-19 00:00:00+00:00,3,3,0,0
2026-08-20 00:00:00+00:00,7,6,0,0
2026-08-21 00:00:00+00:00,14,7,0,0
