time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,15,9,0,0
2026-04-10 00:00:00+00:00,25,8,0,0
2026-04-11 00:00:00+00:00,17,8,0,0
2026-04-12 00:00:00+00:00,27,12,0,0
2026-04-13 00:00:00+00:00,36,12,0,0
2026-04-14 00:00:00+00:00,14,7,1,1
2026-04-15 00:00:00+00:00,10,6,1,1
2026-04-16 00:00:00+00:00,22,7,0,0
2026-04-17 00:00:00+00:00,20,9,0,0
2026-04-18 00:00:00+00:00,14,8,0,0
2026-04-19 00:00:00+00:00,38,15,0,0
2026-04-20 00:00:00+00:00,43,20,0,0
2026-04-21 00:00:00+00:00,61,31,0,0
2026-04-22 00:00:00+00:00,67,29,0,0
