time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-23 00:00:00+00:00,4,3,,
2025-11-24 00:00:00+00:00,8,8,,
2025-11-25 00:00:00+00:00,3,3,,
2025-11-26 00:00:00+00:00,4,4,,
2025-11-27 00:00:00+00:00,3,3,,
2025-11-28 00:00:00+00:00,3,3,,
2025-11-29 00:00:00+00:00,3,3,,
2025-11-30 00:00:00+00:00,4,3,,
2025-12-01 00:00:00+00:00,45,15,,
2025-12-02 00:00:00+00:00,7,6,,
2025-12-03 00:00:00+00:00,91,25,,
2025-12-04 00:00:00+00:00,9,5,,
2025-12-05 00:00:00+00:00,13,9,,
2025-12-06 00:00:00+00:00,3,3,,
