time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,9,4,,
2025-10-29 00:00:00+00:00,8,3,,
2025-10-30 00:00:00+00:00,6,4,,
2025-10-31 00:00:00+00:00,10,5,,
2025-11-01 00:00:00+00:00,10,5,,
2025-11-02 00:00:00+00:00,11,5,,
2025-11-03 00:00:00+00:00,18,4,,
2025-11-04 00:00:00+00:00,6,3,3.0,3.0
2025-11-05 00:00:00+00:00,5,3,,
2025-11-06 00:00:00+00:00,7,4,3.0,3.0
2025-11-07 00:00:00+00:00,12,6,,
2025-11-08 00:00:00+00:00,5,4,,
2025-11-09 00:00:00+00:00,12,4,,
2025-11-10 00:00:00+00:00,12,6,,
