time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,14,7,1,1
2026-04-15 00:00:00+00:00,10,6,1,1
2026-04-16 00:00:00+00:00,22,7,0,0
2026-04-17 00:00:00+00:00,20,9,0,0
2026-04-18 00:00:00+00:00,14,8,0,0
2026-04-19 00:00:00+00:00,38,15,0,0
2026-04-20 00:00:00+00:00,43,20,0,0
2026-04-21 00:00:00+00:00,61,31,0,0
2026-04-22 00:00:00+00:00,67,29,0,0
2026-04-23 00:00:00+00:00,95,31,0,0
2026-04-24 00:00:00+00:00,77,28,0,0
2026-04-25 00:00:00+00:00,57,26,0,0
2026-04-26 00:00:00+00:00,32,12,0,0
2026-04-27 00:00:00+00:00,28,11,0,0
