time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,67,29,0,0
2026-04-23 00:00:00+00:00,95,31,0,0
2026-04-24 00:00:00+00:00,77,28,0,0
2026-04-25 00:00:00+00:00,57,26,0,0
2026-04-26 00:00:00+00:00,32,12,0,0
2026-04-27 00:00:00+00:00,28,11,0,0
2026-04-28 00:00:00+00:00,16,6,0,0
2026-04-29 00:00:00+00:00,11,5,1,1
2026-04-30 00:00:00+00:00,37,12,0,0
2026-05-01 00:00:00+00:00,26,7,1,1
2026-05-02 00:00:00+00:00,58,17,1,1
2026-05-03 00:00:00+00:00,26,9,2,2
2026-05-04 00:00:00+00:00,48,16,1,1
2026-05-05 00:00:00+00:00,62,19,0,0
