time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-07 00:00:00+00:00,15,10,0,0
2026-02-08 00:00:00+00:00,15,9,0,0
2026-02-09 00:00:00+00:00,20,12,0,0
2026-02-10 00:00:00+00:00,18,10,0,0
2026-02-11 00:00:00+00:00,4,3,0,0
2026-02-12 00:00:00+00:00,6,5,0,0
2026-02-13 00:00:00+00:00,14,9,0,0
2026-02-14 00:00:00+00:00,19,10,0,0
2026-02-15 00:00:00+00:00,15,10,0,0
2026-02-16 00:00:00+00:00,23,13,0,0
2026-02-17 00:00:00+00:00,10,6,0,0
2026-02-18 00:00:00+00:00,6,5,0,0
2026-02-19 00:00:00+00:00,12,7,1,1
2026-02-20 00:00:00+00:00,22,12,0,0
