time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-30 00:00:00+00:00,6,4,,
2023-10-01 00:00:00+00:00,10,5,,
2023-10-02 00:00:00+00:00,12,8,,
2023-10-03 00:00:00+00:00,6,5,,
2023-10-04 00:00:00+00:00,5,4,,
2023-10-05 00:00:00+00:00,7,4,1.0,1.0
2023-10-06 00:00:00+00:00,10,6,,
2023-10-07 00:00:00+00:00,4,3,,
2023-10-08 00:00:00+00:00,6,4,,
2023-10-09 00:00:00+00:00,11,7,,
2023-10-10 00:00:00+00:00,4,3,,
2023-10-11 00:00:00+00:00,36,8,,
2023-10-12 00:00:00+00:00,2,2,16.0,2.0
2023-10-13 00:00:00+00:00,1,1,,
